id,name,city,state,historical_booking_count,genre_history_count,has_capacity,has_genre_history,has_coordinates,has_resolved_market
venue_fe587b7923ac59899aed7d225d4b3730,Town Hall,New York,NY,26,14,True,True,False,True
venue_56b902a1aaa451479a6e1c7889f986cf,Night Club 101,New York,NY,25,13,True,True,False,True
venue_7b47e3845e7d5fb59480e5561b5a6f84,Outset,Chicago,IL,25,6,True,True,False,True
venue_195ab020749353ada7926f122f438965,The Grand (Boston),Boston,MA,25,7,True,True,False,True
venue_e054ee6ed28d5a86b192459f930d3504,Antone's Nightclub,Austin,TX,24,11,False,True,False,True
venue_5fa0102c9eb158218de6c74b5f96064c,Greek Theatre,Los Angeles,CA,24,7,False,True,False,True
venue_057bdf026c785e8bbb61dad46bfb6728,House of Blues Dallas ,Dallas,TX,24,9,False,True,False,True
venue_eedc42dedb5059da931b7f4ae530c1eb,South Side Ballroom,Dallas,TX,24,8,False,True,False,True
venue_61bd67253deb54cab383963224cdab3a,The Echo Lounge & Music Hall,Dallas,TX,24,7,False,True,False,True
venue_c4092be27b6b516ca8de2be9bdfbbc8d,United Center,Chicago,IL,24,6,True,True,False,True
venue_fe59309c9c1c5b75b11ae21a7da89ab4,Atlanta Symphony Hall,Atlanta,GA,23,11,True,True,False,True
venue_fa5b27f04f085173a9a855cf7aa70e02,Howard Theatre-DC,Washington,DC,23,13,True,True,False,True
venue_c18d89abc64c513287aea946f4f91fbd,Nikki Lopez Philly,Philadelphia,PA,23,8,True,True,False,True
venue_141c566c1b0850ecaca89b0f9c7876a8,The Peppermint Club,Los Angeles,CA,23,6,True,True,False,True
venue_eb875534645a5a669af55623b8287287,Tractor,Seattle,WA,22,7,False,True,False,True
venue_b8d3b00c138c5f0494f547978cd70fba,AM/FM Dallas,Dallas,TX,21,5,False,True,False,True
venue_91477ef539cd539cb9368ad723c7413e,Ascend Amphitheater,Nashville,TN,21,7,True,True,False,True
venue_470990e72fc255a3a2b226d04d5a4ea0,Cutting Room,New York,NY,21,5,True,True,False,True
venue_280b73edc85554858ca5e62fea207b3e,Lakewood Amphitheatre,Atlanta,GA,21,3,True,True,False,True
venue_1755710f1e9350cbb3435000d9e8842b,SILO,Dallas,TX,21,1,False,True,False,True
venue_dc6b496a349253bda1b1aaae7714412b,The Crocodile,Seattle,WA,21,9,False,True,False,True
venue_3c370bc221fa5bce9083135172c41afd,Agganis Arena,Boston,MA,20,10,True,True,False,True
venue_41e9c28ac9ce58f79f8825457ea8411a,Bridgestone Arena,Nashville,TN,20,4,True,True,False,True
venue_f697084de3e25f1289e6518673da0895,Climate Pledge Arena,Seattle,WA,20,6,False,True,False,True
venue_09c078cb32335819b6b14e906b30fa14,Marathon Music Works,Nashville,TN,20,7,True,True,False,True
venue_74afab5ee0165e09b7e86f34b3a48ab9,The Castro Theatre,San Francisco,CA,20,7,False,True,False,True
venue_b6f5dbbc32d25b148ca81971f213475a,The Loft,Atlanta,GA,20,7,True,True,False,True
venue_a0740d7b6f1a5754a72c3857fbb5b32b,Reggies Rock Club,Chicago,IL,19,4,True,True,False,True
venue_ca3c2bb80fec5b6bba2f53d78a8ce4f5,The Showbox,Seattle,WA,19,7,False,True,False,True
venue_8c7eaf812306503eac96ae1d7c2216d7,Foundation Room at House of Blues Chicago,Chicago,IL,18,2,False,True,False,True
venue_0e39ec55385450b287c1465ebca5b845,Infosys Theater at Madison Square Garden,New York,NY,18,7,True,True,False,True
venue_2d32f08a8af452a6b7e048d8465f9d26,Pacha New York,New York,NY,18,3,True,True,False,True
venue_f66374c5ca7f5c2fa889cc56b05c5749,Tabernacle,Atlanta,GA,18,15,True,True,False,True
venue_a3a7bc9cb3485fae94431a2cd65b782d,The Bellwether,Los Angeles,CA,18,4,True,True,False,True
venue_7fd41a874c305546968f3cf960605db7,The Eastern-GA,Atlanta,GA,18,14,True,True,False,True
venue_91d2fc03abdd5c3a827fbc28db45d726,The Salt Shed Indoors (Shed),Chicago,IL,18,7,True,True,False,True
venue_a5595176fa01560ea4939862ad7b9cb7,Exit/In,Nashville,TN,17,6,True,True,False,True
venue_207ad94e05b65089aa2938d93ca2e112,Neptune Theatre,Seattle,WA,17,7,False,True,False,True
venue_c13800179b48563aa31028c7857b3411,The Cambridge Room at House Of Blues,Dallas,TX,17,7,False,True,False,True
venue_0761271568125f37a7f7c77ef906ed43,The Liberty Belle - Rocks Off Concert Cruise,New York,NY,17,8,True,True,False,True
venue_b20b637d4b205d6695383a4447372ecf,The Pinnacle - TN,Nashville,TN,17,7,True,True,False,True
venue_bd06759b205e52e58f3216e4e8973dbf,Warfield,San Francisco,CA,17,4,False,True,False,True
venue_dda9b662248155fcbe5ce5a27e4004da,August Hall,San Francisco,CA,16,7,False,True,False,True
venue_10c58db8e94b561b892c774b019e639e,Lucinda's,New York,NY,16,8,True,True,False,True
venue_2b161e5a2040516e82b6abd59e81f1ce,Moody Amphitheater,Austin,TX,16,6,False,True,False,True
venue_d36de1e1d8575f60a53384f48b3c6e2a,NOTO,Philadelphia,PA,16,5,True,True,False,True
venue_81d87f48869f546f8b33a91602a08936,Petersen Events Center,Pittsburgh,PA,16,7,True,True,False,True
venue_297b896222a65e1a8b255c01814d163a,The Chapel,San Francisco,CA,16,6,False,True,False,True
venue_8aabf53f69e15d2e87e4418c1f3ab266,The Chicago Theatre,Chicago,IL,16,2,True,True,False,True
venue_c914c20173b35b7db632af3f601e8ae9,Cafe Du Nord,San Francisco,CA,15,8,False,True,False,True
venue_19aa1e6914275523b9f232cd54103ec7,Germania Insurance Amphitheater,Austin,TX,15,4,False,True,False,True
venue_8a437646efb854f79a372b801dbb90d9,Nectar Lounge,Seattle,WA,15,2,False,True,False,True
venue_401b9e28dce05e3f87866c15d6054f17,Showbox SODO,Seattle,WA,15,3,False,True,False,True
venue_caf7efc5fff25965af2f1805d90e3bc2,Lincoln Theatre,Washington,DC,14,15,True,True,False,True
venue_f5edd5428100514a8a3613b0a3692e72,The Regency Ballroom,San Francisco,CA,14,3,False,True,False,True
venue_21c263d9cb84538d8dbdd9e38c3879fa,Beachland Tavern,Cleveland,OH,13,7,True,True,False,True
venue_5e452d8853f05ee6ba97cd437628a079,Buffalo RiverWorks,Buffalo,NY,13,11,True,True,False,True
venue_1651cf3b4f235873800283802e8112a9,Electric City,Buffalo,NY,13,15,True,True,False,True
venue_2eb091d0a2fe5cfb826a8498cc3309e9,Hollywood Bowl,Los Angeles,CA,13,5,False,True,False,True
venue_c0eb6257b9105c25bd4099d7e6cf518e,Howard Theatre,Washington,DC,13,8,True,True,False,True
venue_98f3b57569985df5b08ed54392721d74,PhilaMOCA,Philadelphia,PA,13,4,True,True,False,True
venue_54adf47defbf53e8a3d3b35f0fb05d81,Soldier Field,Chicago,IL,13,4,True,True,False,True
venue_0d916dba4aad5c1bbe5ac1eebdafbfea,Terminal 5,New York,NY,13,9,True,True,False,True
venue_ec8b817923635ae7a8b74320ddd455b1,The Fonda Theatre,Los Angeles,CA,13,5,False,True,False,True
venue_a365b2eef1575c2393292d8adc9ed524,Town Ballroom,Buffalo,NY,13,14,True,True,False,True
venue_51abcb8ad8b45be79746f03c30e4a662,Variety Playhouse,Atlanta,GA,13,19,True,True,False,True
venue_f0bcbc0e159d5fd4af747c55fe1a0008,Agora Theatre,Cleveland,OH,12,9,True,True,False,True
venue_95104faaf23a52e2921f28a0aa11104c,Majestic Theatre-MI,Detroit,MI,12,5,True,True,False,True
venue_408b75822faf51ae8d60090a7bdf7c39,Meyerhoff Symphony Hall,Baltimore,MD,12,6,True,True,False,True
venue_fa85127c91bd5aabb257ce6eb3f19299,Rocket Arena,Cleveland,OH,12,6,True,True,False,True
venue_7c9443d88e215294afa35efbc04cf0e4,Scoot Inn,Austin,TX,12,5,False,True,False,True
venue_662e8d7900d359c8bcbb41b3fb2fb9ad,TSDMAAC,Detroit,MI,12,4,False,True,False,True
venue_a085369defbe5068ac6c7e2a6063a9fe,The Wiltern,Los Angeles,CA,12,7,True,True,False,True
venue_a9e9378427d25b0087523ea823d6160a,Vic Theatre,Chicago,IL,12,4,True,True,False,True
venue_49b8f5256a2e561dac5196b6f2268fd5,American Airlines Center,Dallas,TX,11,4,False,True,False,True
venue_d3575569498d539b808f67a8712c588b,Carpenter Theatre at Dominion Energy Center,Richmond,VA,11,6,True,True,False,True
venue_51a0902de9295614bc9e0fce537bc5c8,Ember Music Hall,Richmond,VA,11,9,True,True,False,True
venue_1d0ba85d1084599fa9eb9e6076dfc310,Fox Theatre Detroit,Detroit,MI,11,6,True,True,False,True
venue_d594714934b3547eb36e59105dd1dc96,Mr Smalls Theater,Pittsburgh,PA,11,15,True,True,False,True
venue_29b4a6fb8ca254a591b0ba2262b64f54,The Basement,Nashville,TN,11,2,True,True,False,True
venue_1ac73b5286b258178beb520323fb4597,The Independent,San Francisco,CA,11,3,False,True,False,True
venue_4e2d1ed4ca3a506b8e6d4336b93eaad8,Fenway Park,Boston,MA,10,1,True,True,False,True
venue_62ab6f6ceed25f9885b2271f3bf5c3e7,Ford Field,Detroit,MI,10,3,False,True,False,True
venue_084282b176615adea7f9ee624393a92f,Globe Iron,Cleveland,OH,10,4,True,True,False,True
venue_584577f3d83e571b93a96ec2a03716cd,Grammy Museum LA Live,Los Angeles,CA,10,2,False,True,False,True
venue_1da428f3e1da5e60992c9d6827faf646,KeyBank Center,Buffalo,NY,10,9,True,True,False,True
venue_2efe9d63ab555095ba972185ad8a59d3,Little Caesars Arena,Detroit,MI,10,5,True,True,False,True
venue_173d351bd90c5550973e79caafb6e39d,M&T Bank Stadium,Baltimore,MD,10,3,True,True,False,True
