id,name,historical_booking_count,genre_count,has_musicbrainz_id,has_genre_data,has_lastfm_audience_data,has_artist_popularity
artist_1ae09e3d9b6c5fefa4ae587f7aaf8280,Mustard Service,11,4,False,True,False,False
artist_1c5af5003e6156a8bbdad0d6704a8ff4,Slayyyter,11,8,True,True,True,True
artist_eeb057c1b72158a394e943e11a2c8095,Squeeze,11,6,False,True,True,True
artist_3eaaf314271e514586894491e29f44eb,The Chats,11,3,False,True,False,False
artist_328590f7031550b0b3df1a4d9fa135d9,ADÉLA,10,1,False,True,False,False
artist_59b18755507b584ca79c6a1711f95792,AMA,10,3,False,True,False,False
artist_7ba94dbab7575875a23edc1d1215c763,Baby Rose,10,7,False,True,True,True
artist_4cd4252a420255ff95639d61466a1b94,Bella Kay,10,1,True,True,False,False
artist_d8a83fb373f5568f8fc90189b78b0563,Ben Harper & The Innocent Criminals,10,3,False,True,False,False
artist_5b19c9a044f1560ea67cbb138dae63e4,Cyrus Chestnut,10,1,False,True,False,False
artist_f7b301b407da506fb17fc56bee0b6f7f,DJ Moon,10,1,False,True,False,False
artist_0738868a81635b548ad6472b67a590eb,Danny Elfman,10,3,False,True,False,False
artist_b48cce9454b159348d2f80d0e61e886f,Dominic Fike,10,6,False,True,True,True
artist_d429a2ffd6b158af969570a9d0fc2e1a,Don Toliver,10,3,True,True,False,False
artist_7fdfc93af8c356fd8d6c9ef15de10b9a,Gary Bartz,10,1,False,True,False,False
artist_c60865c1c28650cf97f261c025590f23,Harlem Gospel Choir,10,2,False,True,False,False
artist_6aa823b660615a0ab524fec7dbb7bc88,Hot Club of Cowtown,10,2,False,True,False,False
artist_a103c1b05cbd5f4595a458a8d0cbccb4,Hulvey,10,3,False,True,False,False
artist_1229c95f740859359a231c044e14fe3e,Ken Carson,10,2,False,True,False,False
artist_ee43628319e25dfca5be4acae72e8c9c,Lekan,10,1,False,True,False,False
artist_85b6dcca54765f43b437ac8af36fe938,Lily Allen,10,3,False,True,False,False
artist_b732be3302c75a8ba81d56f79532637f,Little Stranger,10,2,False,True,False,False
artist_d9628abafde35e38a065831b04e2a0fd,Loe Shimmy,10,1,True,True,False,False
artist_ffa54968e6db572e897a91077a2d5d74,Logan Jahnke,10,2,True,True,True,True
artist_31e0e388dd1c50919fbe782f56750d99,Lolo Zouaï,10,2,False,True,False,False
artist_4c2cf66ba5a95a9d91a9402a1c31eead,Luh Tyler,10,7,False,True,True,True
artist_89a701dce6ea5b2f8a2c8cb5f19ca932,Prettifun,10,2,False,True,False,False
artist_7d32f8f22f925b5498c0387c86f8519a,Quicksand,10,7,False,True,True,True
artist_011821dd6db753bfa876b2101a799bc6,Randy Brecker,10,1,False,True,False,False
artist_f413d25c3d5f55c4a9b05e6ef9f9cd59,Volumes,10,8,False,True,True,True
artist_3682fd3e1e41574b846795b6cd52f51c,Xaviersobased,10,2,False,True,False,False
artist_ee62ad795b825eb096df198638ae3896,Young Thug,10,3,False,True,False,False
artist_65eab9f29cc55d44a854c6f83ca6b08e,oskar med k,10,1,False,True,False,False
artist_aa206dbcd2b55bb886bf20bc9870449a,54 Ultra,9,2,False,True,False,False
artist_8cc6293a72a15200b5b93fe885c389dd,Adam Ant,9,7,False,True,True,True
artist_375315f95dbc54dbb156a68e9aa0f41b,Anxious,9,2,False,True,False,False
artist_39b2ae6beaaa5597824b1d62f0b7e7de,Bane,9,7,False,True,True,True
artist_4cf40444ac125aed92c169ca0c6f2a64,Cheekface,9,3,False,True,False,False
artist_82590c932b605437ae31138ae8c14e6b,Chicano Mosh,9,4,False,True,False,False
artist_26f56379a509554b9d873cd118713198,Chxrry,9,6,False,True,True,True
artist_6e34556568ca563584d0c36630cafb72,Dermot Kennedy,9,4,False,True,False,False
artist_3db0bb13d83b5c3e960fbbd349edbc03,Durand Bernarr,9,4,False,True,False,False
artist_79d91a645d725abdbbf2bb35931c9ae5,Earlybirds Club,9,2,False,True,False,False
artist_0825166e4ba6597990408ce49d892d66,Foo Fighters,9,6,False,True,True,True
artist_b9869574bb2d5ced845208dffc963989,Jonah Kagen,9,1,False,True,False,False
artist_743a9a7c81e0544ab9f8a9165f7798cb,Kehlani,9,3,False,True,False,False
artist_e7f066bf5c5a58daa31db124159de779,Kijan Boone,9,3,False,True,False,False
artist_bde0b701b1f256e59db566291c100c31,La Reezy,9,1,False,True,False,False
artist_e1146ab7f4ac51e6a89f9ce774ea3408,Manwolves,9,2,False,True,False,False
artist_734f5c70cadf5d45961d43f71364e854,Meltt,9,7,False,True,True,True
artist_028fa607f128520aa11225b6578dc7c2,NAV,9,2,False,True,False,False
artist_eda6ba4d36ca5995a431ac659e04f0d0,Pearly Drops,9,6,True,True,True,True
artist_76a68a22a91b599a9e064f26e38689c6,Phil Wickham,9,9,False,True,True,True
artist_7294805910c558d0b5cbfade7c1e038c,Phish,9,7,True,True,True,True
artist_77949e4e7ae759a5977e87fa91dd6055,Queens of the Stone Age,9,6,False,True,True,True
artist_dfca24cbed0c5744851c4a1440311f87,Robert Glasper,9,1,False,True,False,False
artist_d58c58f4f5a55ea6b36cf65529e50062,Rocket,9,2,False,True,False,False
artist_4b39f8c847be54758d561a1e5e7d64e6,Shane Smith and the Saints,9,2,False,True,True,True
artist_c94579ae6d935a22aa036811c54f1cd2,Stella Cole,9,1,False,True,False,False
artist_bb55e64db92653d591bb4c75ccadb585,Talib Kweli,9,3,False,True,False,False
artist_b4c68913a5a551ac8a704f48a525f0f5,TheARTI$t,9,1,False,True,False,False
artist_f0cce2b19bec5d64a065a1dd582c043c,WASEEL,9,1,False,True,False,False
artist_6935874a174250e08fed959c380e37d0,indie tribe,9,4,False,True,False,False
artist_700c52b4a9475d51b5ae5865bda15c81,156/Silence,8,7,False,True,True,True
artist_caae0fea748b584584ebbc82ead4134b,ARC Music Festival,8,0,False,False,False,False
artist_f57050d2a3b557db884d6322e1cfda17,Arrows In Action,8,4,False,True,False,False
artist_87625c6396fd507cb148eabf20003b16,BTS,8,3,False,True,False,False
artist_0c0f8e1d53715fb1932821b154e047bd,Bikini Kill,8,3,False,True,False,False
artist_c30a46331aa0539e83f8abae777a0ad2,Bop To The Top,8,1,False,True,False,False
artist_338b7f2b5d3051adb10e2a142893a6ee,Bryson Tiller,8,3,True,True,False,False
artist_ebfc402db773526395e787bc43d1a24d,Butcher Babies,8,6,False,True,True,True
artist_4225b55e22475e22a5090160db76bedf,Chad Gray,8,1,False,True,True,True
artist_84479d4a413c5a059531ad6f43358b80,Chef Boy,8,1,False,True,False,False
artist_dc3559dde3585ce1a352f17c4e4ee422,Closure In Moscow,8,3,False,True,False,False
artist_98ccd028336652ba98ca8d94b9979d9d,Club 90s,8,1,False,True,False,False
artist_31d9c6c9b08c5bf78fbe36af35c76a66,Damn Skippy,8,2,False,True,False,False
artist_6136b866996a5428967730bf8a66446a,Don West,8,5,False,True,True,True
artist_20a36eac2b8b52a780f14432479d4193,Emarosa,8,4,False,True,False,False
artist_0475e76039cd5f4eb1c7b02d2bd6582b,Eslabon Armado,8,6,False,True,True,True
artist_12edf16d358452af9a1f8a46539bb5e0,French Police,8,3,False,True,False,False
artist_903ae0b145075588bb55b7fb42dab852,Galantis,8,3,False,True,False,False
artist_6aa5b7c748685ec182feb75a70170659,Gimme Gimme Disco,8,2,False,True,False,False
artist_d2b5f079681e5e2c831abc4f5f104d29,Girlfriend,8,1,False,True,False,False
artist_a7853aebba885fbfa4b1d8989b85f3ca,Good Boy Daisy,8,3,False,True,False,False
artist_95a068114aa55df7b0da6a0fe89e8234,Haircut 100,8,6,False,True,True,True
artist_579119cb204e55939bdff17b693c7607,Hans Williams,8,2,False,True,False,False
artist_6602b56c18f955e8a945bdbad4cca787,Hiromi,8,1,False,True,False,False
artist_c48c4c6d7e9a553b835c84de7418c6ec,Instant Crush,8,1,False,True,False,False
artist_dd9960f999505ea6aa617309358adca0,James Taylor,8,3,False,True,False,False
artist_8cf6793fe8d8533a9b0ff0b54c18aa6e,Jarv,8,3,False,True,False,False
artist_52661072153552ba84b1c0e19cf7b599,Jungle,8,4,False,True,False,False
artist_ed4c6f5b58bb5f9caa7e00c778b34504,K Sera,8,1,False,True,False,False
artist_1a54e229b6d751c08900ce4c8d94511d,KALEO,8,4,False,True,False,False
artist_33e1d8663f375c3cbdedb9f5a7890941,Kanii,8,2,False,True,False,False
artist_9f3f9388dee054d5886f395971cf4d37,Kenny Garrett,8,1,False,True,False,False
artist_1315252b4a905b0abfad70e5395e1856,Los Eclipses,8,6,False,True,True,True
artist_4b2658ec1b7554ca89b74aa4674062c7,Majid Jordan,8,4,False,True,False,False
artist_936f350be7985d13b5c9d0f5fadbc3b9,Mannequin Pussy,8,8,False,True,True,True
artist_81ea99d50f225b7f9cd0adb8dd92596a,Mari Froes,8,7,False,True,True,True
artist_341cc4e8cb2e51aa9a125bf2cfd057a9,Melanie C,8,6,False,True,True,True
artist_57390acb66a15d2595d1f344bbd0913a,Millkzy,8,1,False,True,False,False
artist_6089fe3f143f537183083c34dbd4fce4,Modest Mouse,8,6,False,True,True,True
artist_9e141633b82c5a8d8029b743b489159a,Mozzy,8,2,False,True,False,False
artist_0c75388e360d5706bc0c4ce3c6c97a52,Of Virtue,8,4,False,True,False,False
artist_33d750f845aa5e4d9c3fb1c26a977ccd,Omar Courtz,8,9,False,True,True,True
artist_964597ac0d6d52418b6a8334e25fadf7,Passion Pit,8,8,False,True,True,True
artist_5caacc2476e958628505eafec86e2c7e,Peter Hook and the Light,8,2,False,True,False,False
artist_27f77486940353d3b2968870e340c7a1,RIO KOSTA,8,4,False,True,False,False
artist_47164d2cf45c50fba17e83540dbb76de,Royal Coda,8,7,False,True,True,True
artist_38bd68075d5c5fea8d7ae34d8187763e,Savage Hands,8,4,False,True,False,False
artist_671dcd35a7f8553b84f8e57e529761c5,Social Order,8,3,False,True,False,False
artist_c465237fde88532b80370df1d6549a3e,Solya,8,6,False,True,True,True
artist_b8917e8a7fdf565597dcb206c5117297,Tame Impala,8,6,False,True,True,True
artist_f18cedd45c9958ee9f11936b96f7cd6b,The Backfires,8,4,False,True,False,False
artist_9d62bb399e875626b7ef6185d1afd056,The Dear Hunter,8,4,False,True,False,False
artist_2ae99459b33a530fa2c35d85e19ee956,Tori Amos,8,5,False,True,False,False
artist_a956756f81c75d63ab5196396212c7f3,Tropidelic,8,3,False,True,False,False
artist_28e88d391a8552d8a44f8abd6d8df40f,Ty Dolla $ign,8,10,False,True,True,True
artist_77b4a90370a05cf9aa6eb934e22361e2,Wild Child,8,8,False,True,True,True
artist_7ae586f1afcf5b569ac815498c70457d,Willow Avalon,8,7,False,True,True,True
artist_2c749b84709f57c6a3fe2949f13c1f4e,YG,8,3,False,True,False,False
artist_f448c6fc4d2652b0b558d9f828ddf989,Band Of Silver,7,2,False,True,False,False
artist_42ef42cadd4c50e6a74b7f5889d636c8,Black Label Society,7,6,False,True,True,True
artist_13ce7104efa35d588c184f7dacfaa831,Black Marble,7,4,False,True,False,False
artist_1c7232d3c395573eae5c83a04ec9161a,Buddy Guy,7,6,False,True,True,True
artist_9a72c82c50a255b0b677c08c0e577cef,Costa,7,1,False,True,False,False
artist_534e73d9e7475a44933d1925dc018eb3,Dazegxd,7,3,False,True,False,False
artist_3bac8bc7ca475f11bc8836a4da36799e,Diggy Graves,7,3,False,True,False,False
artist_b16d2073e9045cb5bf32464bb6054641,Dua Saleh,7,4,False,True,False,False
artist_0687056287e65eb48f755854fee6b6df,Helmet,7,8,False,True,True,True
artist_065d5aab5a915e13b14c3e8f242a6116,Houndmouth,7,5,False,True,False,False
artist_2d3298f82460579a8327f54424d6168e,Jane Remover,7,3,False,True,False,False
artist_aedb1181b60b5712886911364d187565,Jay Park,7,3,False,True,False,False
artist_8580d99132c75b2db38a5b59b596eb99,Jeff Rosenstock,7,6,False,True,False,False
artist_870d0861ef33524e982b102c92a32660,Medium Build,7,6,False,True,True,True
artist_6cb77b831fd150e98622541ff63cf427,Midnight Generation,7,9,False,True,True,True
artist_5a9d775d67785b35961ce0414efeea8e,Minus the Bear,7,9,False,True,True,True
artist_2619d1ca60565e55838bac8d695cc134,Mon Laferte,7,7,False,True,True,True
artist_dff4ee7122d95746a07cd099e958771e,Mt. Joy,7,3,False,True,False,False
artist_6d890e3269995fda984a2a23948b2fed,Mumford & Sons,7,4,False,True,False,False
artist_a64717849d84593fa35b12d2f5525d39,Naomi Sharon,7,3,False,True,False,False
artist_f218a90eeaff5d7fab557afb3c6a2bb0,Niko Moon,7,2,False,True,False,False
artist_dfbc1044916450dca69b663cece91d87,PRESIDENT,7,2,False,True,False,False
artist_833d98c298465cec8d26a3f41498f205,Peter Bernstein,7,1,False,True,False,False
artist_14f453ed934c571aae5db16d00f86731,Polo & Pan,7,8,False,True,True,True
artist_c1d8a84cd6e455d2a4575c74a257ba39,Ray LaMontagne,7,4,False,True,False,False
artist_ac5e1417894958c1bd519b648878f6a6,Robyn,7,4,False,True,False,False
